73810116,209889413,7381000,3,,,GARDEN,DR,,CLIFTON PARK,NY,12065,12065-4016
73811104,7381110,7381100,289,,,RIVERVIEW,RD,,REXFORD,NY,12148,12148-1642
73812101,7381210,7381200,28,,,REED,LN,,CLIFTON PARK,NY,12065,12065-1829
73816136,185470733,7381600,28,,,GREEN MEADOW,DR,,CLIFTON PARK,NY,12065,12065-1834
73817106,7381710,7381700,7,,,PINE GROVE,LN,,REXFORD,NY,12148,12148-1630
73818103,7381810,7381800,1,,,BRADBURY,ST,,CLIFTON PARK,NY,12065,12065-1649
73821137,81319507,7382100,61,,,REDFIELD,PARK,,CLIFTON PARK,NY,12065,12065-1673
73843017,825128110,7384300,48,,,CHATSWORTH,WAY,,CLIFTON PARK,NY,12065,12065-7238
75068101,993648208,7506800,21,,,GROOMS PT,DR,,CLIFTON PARK,NY,12065,12065-5922
77973025,628649422,7797300,24,,,CARLSON,WAY,,CLIFTON PARK,NY,12065,12065-6833
83165011,695382510,8316500,4,,,PATRIOT,CIR,,CLIFTON PARK,NY,12065,12065-6791
84111017,62402205,8411100,16,,,BLUE JAY,WAY,,REXFORD,NY,12148,12148-1332
88810100,8881010,8881000,37,,,ASHDOWN,RD,,BALLSTON LAKE,NY,12019,12019-2314
89011101,8901110,8901100,69,,,IRENE,DR,,CLIFTON PARK,NY,12065,12065-7448
89012108,8901210,8901200,19,,,ACORN,AVE,,CLIFTON PARK,NY,12065,12065-5117
89013105,8901310,8901300,23,,,WILLARD,DR,,CLIFTON PARK,NY,12065,12065-6726
89014148,811381810,8901400,57,,,GRANT HILL,CT,,CLIFTON PARK,NY,12065,12065-7704
89015396,326192158,8901500,3012,,,FOXWOOD,DR,S,CLIFTON PARK,NY,12065,12065-7014
89016124,638014910,8901600,16,,,BRENDEN,CT,,CLIFTON PARK,NY,12065,12065-7628
89017103,8901710,8901700,4110,,,FOXWOOD,DR,S,CLIFTON PARK,NY,12065,12065-7002
89018119,786931824,8901800,38,,,JAMISON,DR,,CLIFTON PARK,NY,12065,12065-7250
87063072,339929938,8706300,28,,,NADLER,RD,,CLIFTON PARK,NY,12065,12065-2119
87100016,476881010,8710000,17,,,WALLFLOWER,DR,,REXFORD,NY,12148,12148-1522
92390031,252762407,9239010,13,,,VISTA,CT,,CLIFTON PARK,NY,12065,12065-1634
94010125,615444925,9401000,37,,,GARNSEY,RD,,REXFORD,NY,12148,12148-1205
93807115,953758058,9380700,28,,,BEECHWOOD,DR,,CLIFTON PARK,NY,12065,12065-4828
93808103,9380810,9380800,6,,,BLUE SPRUCE,LN,,BALLSTON LAKE,NY,12019,12019-1316
93809128,866294723,9380900,3,,,SEVILLA,DR,,CLIFTON PARK,NY,12065,12065-5020
93811100,9381110,9381100,255,,,RIVERVIEW,RD,,REXFORD,NY,12148,12148-1642
93812107,9381210,9381200,20,,,REED,LN,,CLIFTON PARK,NY,12065,12065-1829
93813248,795340951,9381300,701,,,LONDON SQUARE,DR,,CLIFTON PARK,NY,12065,12065-3750
93814101,9381410,9381400,27,,,HOLLANDALE,LN,,CLIFTON PARK,NY,12065,12065-5267
